Title,Running Time,Genre,Director,Barcode,Format,Condition
36,110 mins,Action; Crime; Foreign,,5023965362322,DVD,
100 Years of powered flight,120 mins,Documentary,Robert Garofalo,5019322065166,DVD,
12 Monkeys x 2 copies,129 mins,Action; Adventure; Science Fiction; Thriller,Terry Gilliam,5050582726077,Blu-ray,
12 Years A Slave,133 mins,Drama; History,Steve McQueen,5030305517236,Blu-ray,
14 Blades,108 mins,Action; Drama; Foreign; Thriller,,5051429702131,Blu-ray,
2 Guns,108 mins,Action; Crime; Drama,Baltasar Kormákur,5030305517038,Blu-ray,
2001: A Space Odyssey,139 mins,Adventure; Science Fiction,Stanley Kubrick,7321900798389,Blu-ray,
22 Bullets,112 mins,Crime; Drama; Thriller,Richard Berry,5060020629747,DVD,
"3 Films By Louis Malle-Murmur of the Heart;Lacombe,Lucien;Au revoir les Infants",357 mins,Drama,Louis Malle,37429212929,DVD,
3:10 To Yuma,117 mins,Action; Crime; Western,James Mangold,5060052413680,DVD,
"4 Months, 3 Weeks and 2 Days",109 mins,Period Drama,Cristian Mungiu,5021866376301,DVD,Unopened
47 Ronin,129 mins,Martial Arts,Kon Ichikawa,5060020704604,DVD,
47 Ronin,128 mins,Drama; Fantasy; Action,Carl Rinsch,9317731102301,Blu-ray,Unopened
A Battle Of Wits,133 mins,Action; Drama; War,Chi Leung 'Jacob' Cheung,5055002531682,DVD,
A Bridge Too Far,176 mins,Action; War,Richard Attenborough,5039036041294,Blu-ray,
A Good Year,118 mins,Comedy; Romance,Ridley Scott,9321337082288,DVD,
A Heart In Winter,,,,9333723000226,,
A Lonely Place To Die,99 mins,Action; Adventure; Crime; Thriller,Julian Gilbey,9327031012323,DVD,
A Touch Of Cloth,270 mins,Comedy,Jim O'Hanlon,6867441056492,DVD,
Adobe Photoshop Lightroom 3 for Digital Photographers,450 mins,Special Interest,,853824001728,DVD,
After Alice,100 mins,Crime; Mystery; Thriller,Paul Marcus,7321900597500,DVD,
Agatha Christie Classic Mystery Collection,1300 mins,Mystery; Thriller,,7321900658874,DVD,
Alastair Sim - The Comic Icons Collection-The Green Man;Folly to be Wise; Geordie; Left Right and Centre; Laughter in Paradise,447 mins,Crime,Basil Dearden; Robert Day,5055201801104,DVD,
Alien Anthology,1421 mins,Horror; Science Fiction; Thriller,Ridley Scott,5039036050319,Blu-ray,Unopened
American Gangster,157 mins,Comedy; Crime; Documentary; Drama; Thriller,Ridley Scott,5050582900385,Blu-ray,
American Sniper,132 mins,Action; Biography; Documentary; Drama; War,Clint Eastwood,5051892186582,Blu-ray,
Amour,127 mins,Drama; Romance,Michael Haneke,5021866057408,DVD,
Andres Segovia In Portrait: Segovia At Los Olivos / Segovia: The Song Of The Guitar,,,Ralph Levy; Richard Whorf,809478009313,DVD,
Argo,120 mins,Drama; History; Thriller,Ben Affleck,5051892123495,Blu-ray,
Arn: Knight Templar,200 mins,,,5022153101644,DVD,
Art Of Conducting: Great Conductors Of The Past,164 mins,Music,Gerald Caillat; Sue Knussen,809274266729,DVD,
Art Of Conducting: Legendary Conductors Of A Golden Era,115 mins,Music,,809274266828,DVD,
Art Of Piano: Great Pianists Of The 20th Century,108 mins,Music,Donald Sturrock,639842919920,DVD,
Art Of Singing: Golden Voices Of The Century,116 mins,Documentary; Music,Donald Sturrock,706301589823,DVD,
Art Of Violin: The Devil's Instrument: Transcending The Violin,113 mins,Music,Bruno Monsaigneon; Bruno Monsaingeon,685738580125,DVD,
Ashes And Diamonds,105 mins,Drama; Foreign,Andrzej Wajda,5027035006505,DVD,
Atonement,123 mins,Romance; War,Joe Wright,5050582532517,DVD,
Avatar,162 mins,Action; Science Fiction; Thriller,James Cameron,5039036053747,Blu-ray 3D,
Azumi,128 mins,Action; Adventure; Drama; War,Ryuhei Kitamura,5060034573050,DVD,
B13 - District 13,85 mins,Action; Comedy; Foreign; Science Fiction,Pierre Morel,5060049147215,DVD,
Back To The Future: The Complete Trilogy,342 mins,Adventure; Comedy; Science Fiction,Robert Zemeckis,5050582788860,Blu-ray,
Balzac: A Life Of Passion,186 mins,Drama,Jos Dayan; Josée Dayan,12236208587,DVD,
Banlieue 13 Ultimatum - District 13 Ultimatum,101 mins,Action; Foreign; Science Fiction,Patrick Alessandrin,5060116724677,DVD,
Beat That My Heart Skipped,107 mins,Crime; Foreign; Music,Jacques Audiard,5021866309309,DVD,
Beautiful Kate,96 mins,Drama,Rachel Ward,5060103792146,DVD,
Beethoven: Missa Solemnis: Staatskapelle Dresden (Blu-Ray),90 mins,Music,,814337010553,Blu-ray,
Belcanto - The Tenors Of The 78 Era - Part 2,,,,5450270012480,DVD,
Bienvenue Chez Les Ch'tis,106 mins,Comedy,Dany Boon,3388330034078,DVD,
Bird,160 mins,Drama,Clint Eastwood,7321931118200,DVD,
Bizet: Carmen: Bumbry / Vickers / Freni / Diaz,163 mins,Opera,Herbert Von Karajan,44007340325,DVD,
Black Snow ( Ben Ming Nian ),99 mins,Drama,Fei Xie,5060114150263,DVD,
Body Of Lies,128 mins,Action; Crime; Thriller,Ridley Scott,5051892001298,Blu-ray,
Bond 50: The Complete 22 Film Collection,2744 mins,Action; Adventure; Thriller,Terence Young,5039036050746,Blu-ray,
Boris Godunov,110 mins,Foreign; Music; Opera,Vera Stroyeva,89948425397,DVD,
Boris Godunov: Mussorgsky: Valery Gergiev,210 mins,Music; Opera,,44007508992,DVD,
Breathless,101 mins,Action; Drama; Romance,Jim McBride,5050070005134,DVD,
Castle In The Sky,124 mins,Action; Adventure; Animation; Anime; Family; Fantasy,Hayao Miyazaki,5055201815996,Blu-ray,
Castle Of Cagliostro,109 mins,Action; Adventure; Animation; Anime; Comedy,,5055201822789,Blu-ray,
Civilisation:,670 mins,Documentary; History; Special Interest,Ann Turner; Peter Montagnon,5051561001475,Blu-ray,
Classics Archive: Oistrakh / Menhuin / Rostropvich,,,,724349044999,DVD,
Claudio Abbado: Beethoven Symphonies 1-9,,Music,,880242573780,DVD,
Closely Watched Trains,93 mins,Comedy; Drama; Foreign; War,Jirí Menzel,5027035002958,DVD,
Coast Australia:,403 mins,Documentary,Pria Viswalingam,9397810263291,DVD,
Colombiana,107 mins,Action; Thriller,Olivier Megaton,5017239152023,Blu-ray,
Concorde: The Early Years 1969-1976 (Volume 2 ),114 mins,Documentary,,5027626101244,DVD,
Confucius,120 mins,Biography; Foreign; History,Mei Hu,5060085364881,Blu-ray,
Coup De Torchon,,,Bertrand Tavernier,5055201802620,DVD,
Cradle 2 The Grave,101 mins,Action; Adventure; Thriller,Andrzej Bartkowiak,7321900234115,DVD,
Crimson Rivers 2: Angel Of The Apocalypse,100 mins,Action; Crime; Horror; Mystery; Suspense; Thriller,Olivier Dahan,5035822868236,DVD,
Cycling with Moliere,104 mins,Comedy; Drama,Philippe Le Guay,5021866707303,DVD,
D'Artagnan's Daughter,125 mins,Drama,Bertrand Tavernier; Riccardo Freda,5028836031857,DVD,
Danny The Dog,102 mins,Action; Adventure; Special Interest,Louis Leterrier,5050582893199,Blu-ray,
Dare To Be Wild,100 mins,Drama,Vivienne De Courcy,9338176017944,DVD,
Das Weisse Band - Eine Deutsche Kindergeschichte,144 mins,Crime; Drama; Foreign,Michael Haneke,5021866479309,DVD,
Death In Paradise: Season 1,,Action; Adventure; Drama,Paul Harrison; Alfred Lot,5051561035678,DVD,
Death In Paradise: Season 2,,Action; Adventure; Drama,Alrick Riley; David O'Neill,5051561037696,DVD,
Décalage Horaire,85 mins,Comedy; Drama; Romance,Danièle Thompson,786936233063,DVD,
Der Rosenkavalier,192 mins,Opera,,5060203340216,Blu-ray,
Di Renjie - Detective Dee,123 mins,Action; Crime; Thriller,Tsui Hark,5060085366342,Blu-ray,
"Di Renjie- Detective Dee, Mystery of the Phantom Flame",118 mins,Action; Drama; Martial Arts,Tsui Hark,5060085364843,DVD,
Diamond 13,98 mins,Action; Crime; Drama,Gilles Béhat,9312590152313,DVD,
District 9,112 mins,Action; Science Fiction; Thriller,Neill Blomkamp,5035822576032,DVD,
Divergent,139 mins,Action; Adventure; Mystery; Romance; Science Fiction; Suspense; Thriller,Neil Burger,5030305518158,Blu-ray,
Doctor Zhivago,200 mins,Drama; Romance; War,David Lean,5051892011549,Blu-ray,
Don’t Say A Word (Pas Un Mot),113 mins,Drama; Thriller,Gary Fleder,3344428048280,Blu-ray,Unopened
"Donizetti - Lucia Di Lammermoor / Joan Sutherland, Alfredo Kraus, Pablo Elvira, Paul Plishka, Richard Bonynge, Metropolitan Opera",134 mins,Opera,,44007341094,DVD,
Dora-Heita,113 mins,Action; Adventure; Comedy,Kon Ichikawa,737187011856,DVD,
Dororo,,,Akihiko Shiota,5060067003357,DVD,
Dredd,95 mins,Action; Crime; Science Fiction,Pete Travis,5017239151880,Blu-ray 3D,
E.T. The Extra-Terrestrial,121 mins,Adventure; Drama; Family; Fantasy; Science Fiction,Steven Spielberg,5050582977325,Blu-ray,
Eclipse Series 4 - Raymond Bernard,,,,715515025324,DVD,
Eclipse: Series 4,392 mins,Foreign,Raymond Bernard,715515025324,DVD,
El Orfanato,110 mins,Horror; Mystery; Thriller,Juan Antonio Bayona,5055201803207,DVD,
Emperor and the white snake,93 mins,Action; Martial Arts,,5055002557132,Blu-ray,
Encounter Of The Spooky Kind,102 mins,Action; Comedy; Fantasy,Sammo Hung Kam-Bo,5032438505661,DVD,
Ex Machina,108 mins,Drama; Science Fiction; Thriller,Alex Garland,5053083028794,Blu-ray,
Existenz,97 mins,Crime; Drama; Science Fiction; Thriller,David Cronenberg,5060001621197,DVD,
Extraction,90 mins,Action,Tony Giglio,9338176017951,DVD,
Family Business,110 mins,Comedy; Crime,Sidney Lumet,43396100503,DVD,
Far North,89 mins,Drama,Asif Kapadia,14381499520,DVD,Unopened
Fifty Shades Of Grey,125 mins,Drama; Romance,Sam Taylor Wood,5053083028299,Blu-ray,
Fighter,96 mins,Martial Arts,,5060116723588,DVD,Unopened
Five Element Ninjas x 2 copies,108 mins,Martial Arts,Cheh Chang,631595094282,DVD,Unopened
Flickan Som Lekte Med Elden-The girl who played with fire,129 mins,Action; Mystery; Thriller,Daniel Alfredson,5060116726053,Blu-ray,
Fong Sai Yuk- The Legend,100 mins,Action; Adventure,Corey Yuen,796019819237,DVD,
For The Moment,,,,5060092907422,DVD,
Forbidden Games,102 mins,Drama,Rene Clement,37429209622,DVD,
Forbrydelsen: Season 1-3 -The Killing,1200 mins,Crime; Drama; Thriller,Morten Arnfred; Hans Fabian Wullenweber; Birger Larsen; Henrik Ruben Genz; Morten Køhlert; Charlotte Sieling; Kristoffer Nyholm,5027035008578,Blu-ray,
Forrest Gump,141 mins,Comedy; Drama; Family; Romance,Robert Zemeckis,5051368249131,Blu-ray,Unopened
Four Minutes,91 mins,Drama; History; Sports,Charles Beeson,5060018659077,DVD,
Foyle's War: Season 7,,Crime; Drama; Mystery,Stuart Orme; Andy Hay,5036193031106,DVD,
Foyle's War: Season 8,343 mins,Crime; Drama; Mystery; War,Stuart Orme; Andy Hay,5036193031939,DVD,
Foyle's War: Set 1,97 mins,Crime; Mystery; War,David Thacker; Jeremy Silberston,5036193090912,DVD,
Foyle's War: Set 2,400 mins,Crime; Drama; Mystery,Giles Foster; Jeremy Silberston,5036193090929,DVD,
Foyle's War: Set 4,400 mins,Crime; Drama; War,Gavin Millar; Jeremy Silberston,8713045212612,DVD,
Foyle's War: Set 5,277 mins,Crime; History; War,David Richards; Stuart Orme,5036193096440,DVD,
Foyle's War: Set 6,274 mins,Crime; War,,5036193097836,DVD,
Foyles War Complete Series 3,400 mins,Crime; Drama; Speelfilm #FI; War,Gavin Millar; Jeremy Silberston,8713045212605,DVD,
Francofonia: Le Louvre Under German Occupation,88 mins,,,5021866199405,Blu-ray,
French Kiss,111 mins,Comedy; Family; Romance,Lawrence Kasdan,5050070004854,DVD,
Friends Season 3,,Comedy,,7321931178068,DVD,
From Paris With Love,92 mins,Action; Thriller,Pierre Morel,5051892015042,DVD,
From Up On Poppy Hill,91 mins,Animation; Drama; Family,Goro Miyazaki,5055201823700,Blu-ray & DVD,Unopened
Game Of Thrones: Season 1 & Season 2,1103 mins,Action; Adult; Adventure; Drama; Fantasy,Alan Taylor; Daniel Minahan,5051892122313,Blu-ray,
George Gently - Series 2,354 mins,Crime,Ciaran Donnelly; Daniel O'Hara,9397911012293,DVD,
George Gently: Season 3,180 mins,Drama; Mystery,Daniel O'Hara,5036193098901,DVD,
George Gently: Series One,266 mins,Crime; Drama; Mystery,Ciaran Donnelly; Euros Lyn,5036193096297,DVD,
