Title,Running Time,Genre,Director,Barcode,Format,Condition
13,,,,,DVD,
36,110 mins,Action; Crime; Foreign,,5023965362322,DVD,Unopened
2046,129 mins,Fantasy; Romance; Science Fiction,Kar Wai Wong,,DVD,
100 Years of powered flight,120 mins,Documentary,Robert Garofalo,5019322065166,DVD,
12 Monkeys,129 mins,Action; Adventure; Science Fiction; Thriller,Terry Gilliam,5050582726077,Blu-ray Disc,
12 Years A Slave,133 mins,Drama; History,Steve McQueen,5030305517236,Blu-ray Disc,
14 Blades,108 mins,Action; Drama; Foreign; Thriller,,5051429702131,Blu-ray Disc,
1944  The Final Defence,110 mins,,,,DVD,
2 Guns,108 mins,Action; Crime; Drama,Baltasar Kormákur,5030305517038,Blu-ray Disc,
2001: A Space Odyssey,139 mins,Adventure; Science Fiction,Stanley Kubrick,7321900798389,Blu-ray Disc,
22 Bullets,112 mins,Crime; Drama; Thriller,Richard Berry,5060020629747,DVD,
"3 Films By Louis Malle-Murmur of the Heart;Lacombe,Lucien;Au revoir les Infants",357 mins,Drama,Louis Malle,37429212929,DVD,
3:10 To Yuma,117 mins,Action; Crime; Western,James Mangold,5060052413680,DVD,
"4 Luni, 3 Saptamani Si 2 Zile",113 mins,Drama,Cristian Mungiu,,DVD,
"4 Months, 3 Weeks and 2 Days",109 mins,Period Drama,Cristian Mungiu,5021866376301,DVD,Unopened
47 Ronin,129 mins,Martial Arts,Kon Ichikawa,5060020704604,DVD,
47 Ronin,128 mins,Drama; Fantasy; Action,Carl Rinsch,,DVD,
5 Cm Per Second,60 mins,Children,,,DVD,
A Battle Of Wits,133 mins,Action; Drama; War,Chi Leung 'Jacob' Cheung,5055002531682,DVD,
A Better Tomorrow,90 mins,Action; Crime,John Woo,,DVD,
A Bridge Too Far,176 mins,Action; War,Richard Attenborough,5039036041294,Blu-ray Disc,
A Good Year,118 mins,Comedy; Romance,Ridley Scott,9321337082288,DVD,
A Lonely Place To Die,99 mins,Action; Adventure; Crime; Thriller,Julian Gilbey,,DVD,
À Nos Amours,102 mins,Foreign; Romance,Maurice Pialat,,DVD,
A Silent Voice,130 mins,Animation; Drama; Romance,Naoko Yamada,,DVD,
A time there was - Benjamin Britten,103 mins,Biography; Music,Tony Palmer,,DVD,
A Touch Of Cloth,270 mins,Comedy,Jim O'Hanlon,6867441056492,DVD,
Accentus,90 mins,Music,,,DVD,
Adobe Photoshop Lightroom 3 for Digital Photographers,450 mins,Special Interest,,853824001728,DVD,
After Alice,100 mins,Crime; Mystery; Thriller,Paul Marcus,7321900597500,DVD,
After Hours,97 mins,Comedy; Thriller,Martin Scorsese,,DVD,
After The Sunset,97 mins,Crime,Brett Ratner,,DVD,
Agatha Christie Classic Mystery Collection,1300 mins,Mystery; Thriller,,7321900658874,DVD,
Aida,160 mins,Music; Opera,,,DVD,
Alastair Sim - The Comic Icons Collection-The Green Man;Folly to be Wise; Geordie; Left Right and Centre; Laughter in Paradise,447 mins,Crime,Basil Dearden; Robert Day,5055201801104,DVD,
Alice Doesn't Live Here Anymore,112 mins,Drama,Martin Scorsese,,DVD,
Alien Anthology,1421 mins,Horror; Science Fiction; Thriller,Ridley Scott,5039036050319,Blu-ray Disc,Unopened
Allegiant,120 mins,Action; Adventure; Fantasy; Mystery; Romance; Science Fiction,Robert Schwentke,,DVD,
Allegiant,,,,,Blu-ray Disc,
Along Came A Spider,104 mins,Crime; Mystery; Thriller,Lee Tamahori,,Blu-ray Disc,
American Beauty,122 mins,Comedy; Drama; Music; Romance; Satire; Science Fiction,Sam Mendes,,Blu-ray Disc,
American Gangster,157 mins,Comedy; Crime; Documentary; Drama; Thriller,Ridley Scott,5050582900385,Blu-ray Disc,
American Sniper,132 mins,Action; Biography; Documentary; Drama; War,Clint Eastwood,5051892186582,Blu-ray Disc,
Amour,127 mins,Drama; Romance,Michael Haneke,5021866057408,DVD,
And So It Goes,93 mins,,,,DVD,
Andres Segovia in Portrait,196 mins,Musical,,,DVD,
Andres Segovia In Portrait: Segovia At Los Olivos / Segovia: The Song Of The Guitar,,,Ralph Levy; Richard Whorf,809478009313,DVD,
Apparitions,352 mins,Adult; Horror,John Strickland; Joe Ahearne,,DVD,
Arahan,114 mins,Action; Comedy; Martial Arts,Seung-wan Ryoo,,DVD,
