Title,Running Time,Genre,Director,Barcode,Format,Condition,Estimated Value (AUD),Confidence,Source,Notes,Last Checked
36,110 mins,Action; Crime; Foreign,,5023965362322,DVD,,19.91,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
100 Years of powered flight,120 mins,Documentary,Robert Garofalo,5019322065166,DVD,,33.17,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
12 Monkeys x 2 copies,129 mins,Action; Adventure; Science Fiction; Thriller,Terry Gilliam,5050582726077,Blu-ray,,36.57,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
12 Years A Slave,133 mins,Drama; History,Steve McQueen,5030305517236,Blu-ray,,48.96,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
14 Blades,108 mins,Action; Drama; Foreign; Thriller,,5051429702131,Blu-ray,,29.91,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
2 Guns,108 mins,Action; Crime; Drama,Baltasar Kormákur,5030305517038,Blu-ray,,29.17,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
2001: A Space Odyssey,139 mins,Adventure; Science Fiction,Stanley Kubrick,7321900798389,Blu-ray,,57.33,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
22 Bullets,112 mins,Crime; Drama; Thriller,Richard Berry,5060020629747,DVD,,31.34,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
"3 Films By Louis Malle-Murmur of the Heart;Lacombe,Lucien;Au revoir les Infants",357 mins,Drama,Louis Malle,37429212929,DVD,,92.73,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
3:10 To Yuma,117 mins,Action; Crime; Western,James Mangold,5060052413680,DVD,,36.63,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
"4 Months, 3 Weeks and 2 Days",109 mins,Period Drama,Cristian Mungiu,5021866376301,DVD,Unopened,21.99,Low,eBay,No Brand New listings found. Estimated using used listings. (2 listings),
47 Ronin,129 mins,Martial Arts,Kon Ichikawa,5060020704604,DVD,,20.41,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
